trialorder,RT,accuracy,itemname,subjectid,group,gender,age.months,Voice,Nasal,Fricative,Liquid_SV,Bilabials,Labiodentals,Alveolars,Palatals,Velars,Glottals,task,logrt,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,TOWREW_skill,TOWRENW_skill,spoonerisms,OLD,PLD,Lg.UK.CDcount,brookesIMG,AoA_Kup_lem,regularity
66,594.8,1,act,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,0,0,naming,2.77437096,3,5,2603,1301.5,258,1.844444444,1.222222222,30,1.5,1,4.034066679,4,6.42,1
165,481.5,1,ask,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,0,0,naming,2.682596291,3,4,1678,839,207,1.844444444,1.222222222,30,1.5,1.55,4.358144325,3.275862069,2.89,0
140,457.5,1,both,naming1,TDchild,Female,147.96,1,0,0,0,1,0,0,0,0,0,naming,2.660391098,4,4,2992,997.333,860,1.844444444,1.222222222,30,1.65,1.25,4.437179582,2.413793103,4.772365,0
65,546,1,box,naming1,TDchild,Female,147.96,1,0,0,0,1,0,0,0,0,0,naming,2.737192643,3,10,860,430,380,1.844444444,1.222222222,30,1.4,1.05,4.051846838,6.034482759,4.3,1
63,580,1,broad,naming1,TDchild,Female,147.96,1,0,0,0,1,0,0,0,0,0,naming,2.763427994,5,2,4189,1047.25,1348,1.844444444,1.222222222,30,1.7,1.35,3.390935107,2.931034483,10.5,0
123,546,1,bronze,naming1,TDchild,Female,147.96,1,0,0,0,1,0,0,0,0,0,naming,2.737192643,6,0,7848,1569.6,1397,1.844444444,1.222222222,30,2.05,1.85,3.246005904,5.344827586,10,1
48,552,1,calf,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.741939078,4,3,4968,1656,1239,1.844444444,1.222222222,30,1.85,1.1,2.819543936,5.724137931,6.63,0
44,508,1,can,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.705863712,3,15,5286,2643,1371,1.844444444,1.222222222,30,1,1,4.63597607,5.24137931,4.32,1
152,572,1,care,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.757396029,4,24,9310,3103.333,2195,1.844444444,1.222222222,30,1,1,4.227783901,4.24137931,5.65,0
12,664.3,1,carve,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.822364252,5,3,6886,1721.5,2072,1.844444444,1.222222222,30,1.65,1.6,2.773786445,4.034482759,6.35,1
169,757.1,1,chance,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.879153246,6,2,9175,1835,1687,1.844444444,1.222222222,30,1.75,1.7,4.363442741,2.75862069,7.78,0
136,542,1,cheat,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.733999287,5,4,9262,2315.5,1502,1.844444444,1.222222222,30,1.7,1.45,3.048441804,3.344827586,5.11,1
156,631,1,cheer,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.800029359,5,3,10298,2574.5,2421,1.844444444,1.222222222,30,1.75,1.2,3.499687083,4.862068966,5,0
73,538,1,chew,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.730782276,4,4,3575,1191.667,850,1.844444444,1.222222222,30,1.75,1.5,3.003460532,5.068965517,4.05,1
157,447.5,1,child,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.65079304,5,3,4364,1091,1170,1.844444444,1.222222222,30,1.85,1.85,4.058312121,6.068965517,5.14536,0
103,535.1,1,choice,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.728434951,6,0,6985,1397,1328,1.844444444,1.222222222,30,1.95,2,4.095134467,2.827586207,5.17,1
34,573,1,chop,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.758154622,4,7,3462,1154,1000,1.844444444,1.222222222,30,1.45,1.4,3.283527365,5.24137931,6.74,1
64,930.2,1,chose,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.968576335,5,6,5587,1396.75,1360,1.844444444,1.222222222,30,1.55,1.75,3.63748973,2.310344828,4.74,0
