Serial,hours_per_day,tot_wellbeing,sex,minority,deprived
1000003,2,41,female,0,1
1000004,2.5,47,female,0,1
1000005,3.5,32,female,0,1
1000006,2,29,female,0,1
1000008,1.5,42,female,0,1
1000009,1.5,67,male,1,0
1000010,3.5,53,female,0,0
1000011,4,36,female,1,0
1000012,7,39,female,1,0
1000016,4,41,female,1,1
1000017,3,50,female,1,1
1000018,5,40,male,1,0
1000021,3.5,38,male,1,0
1000022,4,56,male,1,0
1000023,4,48,female,1,1
1000025,3,43,female,1,1
1000026,6,34,female,1,1
1000027,2.5,40,female,1,1
1000028,6,32,female,0,0
1000029,2.5,61,female,0,0
1000030,2.5,47,female,0,0
1000031,1.5,47,female,0,0
1000032,4.5,54,female,0,0
1000033,3.5,23,female,0,0
1000034,6.5,43,female,0,0
1000037,2,50,female,0,0
1000038,3.5,36,female,0,0
1000039,4.5,41,female,0,0
1000040,2,30,female,0,0
1000041,2.5,47,female,0,0
1000045,4,32,female,0,0
1000048,3,48,female,0,0
1000049,2,36,female,0,0
1000051,2,43,female,0,0
1000052,2.5,59,female,0,0
1000053,1.5,40,female,0,0
1000055,6,53,female,0,0
1000056,5,26,female,0,0
1000057,3.5,38,female,0,0
1000058,1.5,43,female,0,0
1000061,3.5,39,female,0,0
1000062,7,40,female,0,0
1000063,2,41,female,0,0
1000064,6,53,female,0,0
1000065,3.5,41,female,0,0
1000066,1.5,48,female,0,0
1000069,1.5,40,female,0,0
1000070,3.5,26,female,0,0
1000071,5,43,female,0,0
1000072,7,58,female,0,0
1000073,4.5,41,female,0,0
1000074,2.5,43,female,0,0
1000076,6.5,42,female,0,0
1000077,3,43,female,0,0
1000078,5,43,female,0,0
1000079,3,52,female,0,0
1000080,3.5,52,female,0,0
1000081,5.5,37,female,0,0
1000082,2,36,female,1,0
1000083,4,50,female,0,0
1000087,4.5,51,female,1,0
1000089,7,22,female,0,0
1000091,2.5,56,female,0,0
1000092,2.5,36,female,0,0
1000093,3,36,female,0,0
1000094,6,35,female,0,0
1000095,2.5,39,female,0,0
1000096,3.5,43,female,0,0
1000098,3,40,female,0,0
1000099,2,30,female,0,0
1000100,5.5,46,female,0,0
1000101,2,33,female,0,0
1000102,5.5,53,female,0,0
1000103,2.5,42,female,0,0
1000104,3.5,31,female,0,0
1000106,6,33,female,0,0
1000107,1.5,45,female,0,0
1000112,7,44,female,0,0
1000114,2,42,female,0,0
1000115,1.5,42,female,0,0
1000117,1.5,44,female,0,0
1000118,7,35,female,0,0
1000123,6,39,female,0,0
1000124,6,52,female,0,0
1000125,2.5,40,female,0,0
1000126,4.5,51,female,1,0
1000127,2,49,female,0,0
1000130,3.5,41,female,0,0
1000133,1.25,39,female,0,0
1000135,3.5,52,female,0,0
1000136,2,48,female,0,0
1000137,4,42,female,0,0
1000139,2,41,female,0,0
1000144,1.5,52,female,0,0
1000145,4.5,32,female,0,0
1000146,2,49,female,0,0
1000147,2.5,41,female,0,0
1000148,6.5,58,female,0,0
1000149,2,46,female,0,0
1000151,2,52,female,0,0
1000152,3.5,35,female,0,0
1000153,3,47,female,0,0
1000154,1.5,42,female,0,0
1000155,5,41,female,0,0
1000156,5,34,female,0,0
1000160,3.5,51,female,0,0
1000161,5.5,38,female,0,0
1000162,2,68,female,0,0
1000164,5.5,45,female,0,0
1000165,1.5,53,female,0,0
1000168,3.5,41,female,0,0
1000171,3,37,female,0,0
1000172,2,47,female,0,0
1000173,2,53,female,0,0
1000175,1.75,36,female,0,0
1000177,2.5,37,female,0,0
1000179,3.5,46,female,0,0
1000182,6,32,female,0,0
1000184,3,48,female,1,0
1000185,7,39,female,0,0
1000187,2.5,39,female,0,0
1000188,2,50,female,0,0
1000191,6,49,female,0,0
1000192,5,56,female,0,0
1000193,1.5,51,female,0,0
1000196,2.5,53,female,0,0
1000197,4,42,female,0,0
1000198,3,55,female,0,0
1000199,7,40,female,0,0
1000200,5,46,female,0,0
1000201,1.5,40,female,0,0
1000202,2,51,female,0,0
1000203,7,39,female,0,0
1000204,3,42,female,0,0
1000205,5.5,36,female,0,0
1000206,2.5,46,female,0,0
1000207,7,16,female,0,0
1000208,2,52,female,0,0
1000209,5,52,female,0,0
1000210,2.5,20,female,0,0
1000212,7,39,female,0,0
1000213,3,45,female,0,0
1000214,4.5,36,female,1,0
1000216,2,55,female,0,0
1000219,2,56,female,0,0
1000221,7,52,female,1,0
1000222,7,46,female,0,0
1000223,3.5,33,female,0,0
1000225,1.5,48,female,0,0
1000228,7,40,female,0,0
1000229,2,63,female,0,0
1000232,2.5,52,female,0,0
1000234,2.5,36,female,1,0
1000235,3,39,female,0,0
1000236,3,37,female,0,0
1000237,2.5,46,female,0,0
1000239,7,52,female,0,0
1000240,7,44,female,1,0
1000241,7,42,female,0,0
1000242,1.5,68,female,0,0
1000244,2.5,36,female,0,0
1000245,2,28,female,0,0
1000247,6,35,female,0,0
1000248,4.5,58,female,0,0
1000250,2.5,59,female,0,0
1000252,3,47,female,0,0
1000254,2.5,52,female,0,0
1000255,6,58,female,0,0
1000257,6,48,female,0,0
1000259,4.5,28,female,0,0
1000260,6,39,female,0,0
1000261,7,61,female,0,0
1000262,4.5,37,female,0,0
1000264,6.5,44,female,0,0
1000265,1.5,44,female,0,0
1000267,3,24,female,0,0
1000268,6,37,female,0,0
1000269,2,27,female,0,0
1000270,3.5,49,female,0,0
1000271,2,47,female,0,0
1000272,2,43,female,0,0
1000273,3,41,female,0,0
1000279,2.5,47,female,0,0
1000280,5.5,38,female,0,0
1000281,5,55,female,0,0
1000282,5.5,50,female,0,0
1000284,2.5,65,female,0,0
1000285,5,26,female,0,0
1000286,1.5,48,female,0,0
1000288,7,40,female,0,0
1000290,7,52,female,0,0
1000291,5,44,female,0,0
1000292,1.5,53,female,0,0
1000296,1.5,45,female,0,0
1000300,4,58,female,0,0
1000302,3.5,52,female,0,0
1000303,3.5,44,female,0,0
1000305,3.5,28,female,0,0
1000307,2.5,60,female,0,0
1000310,5,50,female,0,0
1000312,4.5,41,female,0,0
1000313,5,41,female,0,0
1000314,1.5,38,female,0,0
1000315,4.5,57,female,0,0
1000316,5,27,female,0,0
1000318,5,37,female,0,0
1000319,5.5,36,female,0,0
1000320,2,54,female,0,0
1000322,1.25,45,female,0,0
1000323,2,39,female,0,0
1000325,3.5,40,female,0,0
1000326,5.5,47,female,0,0
1000327,3.5,45,female,0,0
1000328,2.5,42,female,0,0
1000329,6.5,51,female,1,0
1000330,3.5,51,female,1,0
1000331,4,45,female,0,0
1000332,2,45,female,0,0
1000333,4,27,female,0,0
1000334,2,64,female,1,0
1000335,3.5,41,female,1,0
1000337,3.5,58,female,0,0
1000338,2,44,female,1,0
1000340,2,46,female,1,0
1000341,7,48,female,0,0
1000342,6.5,49,female,0,0
1000343,7,42,female,0,0
1000344,3,54,female,0,0
1000345,2,47,female,0,0
1000346,2.5,56,female,0,0
1000347,7,37,female,0,0
1000348,3,44,female,0,0
1000349,1.5,56,female,0,0
1000350,7,33,female,0,0
1000351,7,43,female,0,0
1000352,6.5,36,female,0,0
1000353,6,51,female,0,0
1000355,7,30,female,0,0
1000358,2,57,female,0,0
1000360,2.5,50,female,0,0
1000364,7,51,female,0,0
1000366,3.5,60,female,0,0
1000367,6.5,41,female,0,0
1000369,4,42,female,0,0
1000370,4,49,female,0,0
1000371,4,45,female,0,0
1000372,6,43,female,0,0
1000373,1.25,42,female,0,0
