"Par","Fear","Efficacy","Intention"
1,"No Fear Appeal","No Efficacy Message",6
2,"No Fear Appeal","No Efficacy Message",4
3,"No Fear Appeal","No Efficacy Message",7
4,"No Fear Appeal","No Efficacy Message",8
5,"No Fear Appeal","No Efficacy Message",5
6,"No Fear Appeal","No Efficacy Message",6
7,"No Fear Appeal","No Efficacy Message",2
8,"No Fear Appeal","No Efficacy Message",6
9,"No Fear Appeal","No Efficacy Message",5
10,"No Fear Appeal","No Efficacy Message",3
11,"No Fear Appeal","No Efficacy Message",8
12,"No Fear Appeal","No Efficacy Message",3
13,"No Fear Appeal","No Efficacy Message",6
14,"No Fear Appeal","No Efficacy Message",4
15,"No Fear Appeal","No Efficacy Message",4
16,"No Fear Appeal","No Efficacy Message",5
17,"No Fear Appeal","No Efficacy Message",8
18,"No Fear Appeal","No Efficacy Message",3
19,"No Fear Appeal","No Efficacy Message",4
20,"No Fear Appeal","No Efficacy Message",9
21,"No Fear Appeal","No Efficacy Message",6
22,"No Fear Appeal","No Efficacy Message",2
23,"No Fear Appeal","No Efficacy Message",9
24,"No Fear Appeal","No Efficacy Message",3
25,"No Fear Appeal","No Efficacy Message",5
26,"No Fear Appeal","No Efficacy Message",3
27,"No Fear Appeal","No Efficacy Message",5
28,"No Fear Appeal","No Efficacy Message",10
29,"No Fear Appeal","No Efficacy Message",8
30,"No Fear Appeal","No Efficacy Message",4
31,"No Fear Appeal","No Efficacy Message",4
32,"No Fear Appeal","No Efficacy Message",6
33,"No Fear Appeal","No Efficacy Message",3
34,"No Fear Appeal","No Efficacy Message",3
35,"No Fear Appeal","No Efficacy Message",7
36,"No Fear Appeal","No Efficacy Message",5
37,"No Fear Appeal","No Efficacy Message",6
38,"No Fear Appeal","No Efficacy Message",8
39,"No Fear Appeal","No Efficacy Message",5
40,"No Fear Appeal","No Efficacy Message",2
41,"No Fear Appeal","No Efficacy Message",3
42,"No Fear Appeal","No Efficacy Message",4
43,"No Fear Appeal","No Efficacy Message",4
44,"No Fear Appeal","No Efficacy Message",5
45,"No Fear Appeal","No Efficacy Message",5
46,"No Fear Appeal","No Efficacy Message",4
47,"No Fear Appeal","No Efficacy Message",4
48,"No Fear Appeal","No Efficacy Message",9
49,"No Fear Appeal","No Efficacy Message",5
50,"No Fear Appeal","No Efficacy Message",5
51,"No Fear Appeal","Efficacy Message",5
52,"No Fear Appeal","Efficacy Message",6
53,"No Fear Appeal","Efficacy Message",4
54,"No Fear Appeal","Efficacy Message",8
55,"No Fear Appeal","Efficacy Message",3
56,"No Fear Appeal","Efficacy Message",7
57,"No Fear Appeal","Efficacy Message",2
58,"No Fear Appeal","Efficacy Message",2
59,"No Fear Appeal","Efficacy Message",5
60,"No Fear Appeal","Efficacy Message",5
61,"No Fear Appeal","Efficacy Message",5
62,"No Fear Appeal","Efficacy Message",6
63,"No Fear Appeal","Efficacy Message",3
64,"No Fear Appeal","Efficacy Message",2
65,"No Fear Appeal","Efficacy Message",4
66,"No Fear Appeal","Efficacy Message",5
67,"No Fear Appeal","Efficacy Message",5
68,"No Fear Appeal","Efficacy Message",3
69,"No Fear Appeal","Efficacy Message",3
70,"No Fear Appeal","Efficacy Message",6
71,"No Fear Appeal","Efficacy Message",4
72,"No Fear Appeal","Efficacy Message",4
73,"No Fear Appeal","Efficacy Message",5
74,"No Fear Appeal","Efficacy Message",4
75,"No Fear Appeal","Efficacy Message",4
76,"No Fear Appeal","Efficacy Message",4
77,"No Fear Appeal","Efficacy Message",5
78,"No Fear Appeal","Efficacy Message",7
79,"No Fear Appeal","Efficacy Message",7
